Disease,Prevalence,Prior_Weight,Typical_Min_Duration_Days,Typical_Max_Duration_Days,Duration_Category,Onset_Type,Progression_Type,Urgency_Level,Typical_Min_Age,Typical_Max_Age,Primary_Age_Group,Gender_Predisposition,Primary_Organ_System,Secondary_Organ_System,Typical_Severity_Level,Case_Fatality_Risk,Hospitalization_Likelihood,Chronicity_Type
hepatic encephalopathy,Rare,0.35,1,30,Chronic,Sudden,Progressive,Emergency,35,85,Middle Aged,Slightly Male,Neurological,Gastrointestinal,Moderate to Severe,Moderate,Often,Acute
hepatitis due to a toxin,Rare,0.35,7,90,Chronic,Sudden,Progressive,Emergency,0,90,All Ages,Both,Gastrointestinal,Multisystem,Moderate,Very Low,Rare,Chronic
herniated disk,Common,0.75,30,3650,Chronic,Sudden,Relapsing,Moderate,25,80,Middle Aged,Slightly Male,Musculoskeletal,Neurological,Mild,Very Low,Rare,Acute Self-Limiting
herpangina,Common,0.75,5,10,Acute,Sudden,Self-limiting,Moderate,0,10,Child,Both,ENT,Infectious Disease,Mild to Moderate,Very Low,Rare,Chronic
hiatal hernia,Common,0.75,365,10950,Chronic,Insidious,Chronic Stable,Low,40,95,Elderly,Both,Gastrointestinal,Respiratory,Moderate,Very Low,Rare,Chronic
hidradenitis suppurativa,Rare,0.35,30,10950,Chronic,Gradual,Relapsing,Moderate,15,45,Young Adult,Slightly Female,Dermatological,Infectious Disease,Moderate,Low,Rare,Chronic
high blood pressure,Very Common,1,365,14600,Chronic,Insidious,Progressive,High,20,95,Middle Aged,Both,Cardiovascular,Genitourinary,Moderate to Severe,Low,Almost Always,Chronic
hirschsprung disease,Very Rare,0.15,3650,21900,Chronic,Sudden,Chronic Stable,Moderate,0,5,Infant,Slightly Male,Gastrointestinal,Neurological,Mild,Very Low,Rare,Chronic
hirsutism,Common,0.75,365,10950,Chronic,Insidious,Chronic Stable,Low,15,50,Young Adult,Female,Endocrine,Dermatological,Moderate,Low,Sometimes,Subacute
histoplasmosis,Rare,0.35,14,90,Chronic,Gradual,Self-limiting,Moderate,0,85,All Ages,Both,Infectious Disease,Respiratory,Mild to Moderate,Very Low,Rare,Chronic
hormone disorder,Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,0,90,All Ages,Slightly Female,Endocrine,None,Mild,Very Low,Rare,Chronic
hpv,Very Common,1,30,10950,Chronic,Insidious,Relapsing,Low,16,60,Young Adult,Both,Infectious Disease,Reproductive,Moderate to Severe,Low,Sometimes,Chronic
human immunodeficiency virus infection (hiv),Common,0.75,3650,14600,Chronic,Insidious,Progressive,High,0,80,Young Adult,Slightly Male,Infectious Disease,Multisystem,Severe,Low,Rare,Chronic Progressive
huntington disease,Very Rare,0.15,3650,7300,Chronic,Insidious,Progressive,Moderate,35,55,Middle Aged,Both,Neurological,Psychiatric,Moderate to Severe,Low,Often,Acute
hydatidiform mole,Very Rare,0.15,30,180,Chronic,Sudden,Progressive,High,15,50,Young Adult,Female,Reproductive,None,Mild,Very Low,Rare,Chronic
hydrocele of the testicle,Common,0.75,180,10950,Chronic,Gradual,Chronic Stable,Low,0,90,All Ages,Male,Reproductive,Genitourinary,Severe,Low,Often,Chronic
hydrocephalus,Rare,0.35,30,10950,Chronic,Gradual,Progressive,High,0,85,All Ages,Both,Neurological,None,Moderate,Low,Sometimes,Chronic
hydronephrosis,Common,0.75,30,3650,Chronic,Gradual,Progressive,Moderate,0,90,All Ages,Both,Genitourinary,None,Moderate to Severe,Low,Often,Acute
hypercalcemia,Common,0.75,7,90,Chronic,Gradual,Progressive,High,20,90,Middle Aged,Both,Endocrine,Multisystem,Moderate,Low,Rare,Chronic
hypercholesterolemia,Very Common,1,365,14600,Chronic,Insidious,Chronic Stable,High,20,95,Middle Aged,Both,Cardiovascular,Endocrine,Moderate,Very Low,Often,Acute
hyperemesis gravidarum,Rare,0.35,60,120,Chronic,Sudden,Self-limiting,High,18,45,Young Adult,Female,Reproductive,Gastrointestinal,Moderate,Low,Rare,Chronic
hypergammaglobulinemia,Rare,0.35,365,10950,Chronic,Insidious,Chronic Stable,Moderate,10,85,All Ages,Both,Hematological,Autoimmune,Mild,Very Low,Rare,Chronic
hyperhidrosis,Common,0.75,365,18250,Chronic,Gradual,Chronic Stable,Low,13,50,Young Adult,Both,Dermatological,Neurological,Severe,Moderate,Almost Always,Acute
hyperkalemia,Common,0.75,1,3,Very Acute,Sudden,Progressive,Emergency,30,95,Middle Aged,Both,Endocrine,Cardiovascular,Moderate,Low,Rare,Chronic
hyperlipidemia,Very Common,1,365,14600,Chronic,Insidious,Chronic Stable,High,20,95,Middle Aged,Both,Cardiovascular,Endocrine,Severe,Moderate,Almost Always,Acute
hypernatremia,Common,0.75,1,3,Very Acute,Sudden,Progressive,Emergency,0,95,All Ages,Both,Endocrine,Neurological,Mild,Very Low,Rare,Chronic
hyperopia,Common,0.75,3650,25550,Chronic,Insidious,Chronic Stable,Low,0,90,All Ages,Both,Ophthalmological,None,Severe,Moderate,Almost Always,Acute
hyperosmotic hyperketotic state,Rare,0.35,1,3,Very Acute,Sudden,Progressive,Emergency,45,95,Elderly,Both,Endocrine,Multisystem,Moderate to Severe,Low,Often,Acute
hypertension of pregnancy,Common,0.75,7,90,Chronic,Sudden,Progressive,Emergency,18,45,Young Adult,Female,Cardiovascular,Reproductive,Moderate to Severe,Low,Sometimes,Chronic Progressive
hypertensive heart disease,Common,0.75,1095,14600,Chronic,Insidious,Progressive,High,40,95,Elderly,Both,Cardiovascular,None,Moderate to Severe,Low,Sometimes,Chronic Progressive
hypertrophic obstructive cardiomyopathy (hocm),Rare,0.35,3650,18250,Chronic,Insidious,Progressive,High,10,60,Young Adult,Both,Cardiovascular,None,Moderate to Severe,Low,Often,Acute
hypocalcemia,Common,0.75,1,7,Acute,Sudden,Progressive,High,0,95,All Ages,Both,Endocrine,Neurological,Moderate to Severe,Low,Sometimes,Acute
hypoglycemia,Common,0.75,0,1,Very Acute,Sudden,Self-limiting,Emergency,0,95,All Ages,Both,Endocrine,Neurological,Moderate to Severe,Low,Often,Acute
hypokalemia,Common,0.75,1,7,Acute,Sudden,Progressive,High,0,95,All Ages,Both,Endocrine,Cardiovascular,Severe,Moderate,Almost Always,Acute
hyponatremia,Common,0.75,1,7,Acute,Sudden,Progressive,Emergency,0,95,All Ages,Both,Endocrine,Neurological,Severe,Moderate,Almost Always,Acute
hypothermia,Common,0.75,0,1,Very Acute,Sudden,Self-limiting,Emergency,0,95,All Ages,Both,Multisystem,Cardiovascular,Mild to Moderate,Very Low,Rare,Chronic
hypothyroidism,Common,0.75,365,14600,Chronic,Insidious,Chronic Stable,Moderate,15,90,Middle Aged,Female,Endocrine,Multisystem,Severe,Moderate,Almost Always,Acute
hypovolemia,Common,0.75,0,1,Very Acute,Sudden,Progressive,Emergency,0,95,All Ages,Both,Cardiovascular,Multisystem,Mild,Very Low,Rare,Chronic
idiopathic absence of menstruation,Common,0.75,90,3650,Chronic,Gradual,Chronic Stable,Moderate,13,45,Young Adult,Female,Reproductive,Endocrine,Mild to Moderate,Very Low,Rare,Chronic
idiopathic excessive menstruation,Common,0.75,30,3650,Chronic,Sudden,Relapsing,Moderate,13,50,Young Adult,Female,Reproductive,Endocrine,Mild,Very Low,Rare,Chronic
idiopathic infrequent menstruation,Common,0.75,90,3650,Chronic,Gradual,Relapsing,Moderate,13,50,Young Adult,Female,Reproductive,Endocrine,Mild,Very Low,Rare,Chronic
idiopathic irregular menstrual cycle,Common,0.75,30,3650,Chronic,Gradual,Relapsing,Low,13,50,Young Adult,Female,Reproductive,Endocrine,Moderate,Very Low,Sometimes,Chronic
idiopathic nonmenstrual bleeding,Common,0.75,1,30,Chronic,Sudden,Relapsing,Moderate,13,55,Young Adult,Female,Reproductive,Endocrine,Mild to Moderate,Very Low,Rare,Chronic
idiopathic painful menstruation,Very Common,1,2,5,Acute,Sudden,Relapsing,Moderate,13,50,Adolescent,Female,Reproductive,None,Moderate to Severe,Low,Almost Always,Acute
ileus,Common,0.75,1,7,Acute,Sudden,Progressive,High,0,95,All Ages,Both,Gastrointestinal,None,Mild,Very Low,Rare,Acute Self-Limiting
impetigo,Common,0.75,7,14,Subacute,Sudden,Self-limiting,Moderate,0,12,Child,Both,Dermatological,Infectious Disease,Moderate,Very Low,Rare,Chronic
impulse control disorder,Common,0.75,365,10950,Chronic,Gradual,Chronic Stable,Moderate,10,50,Young Adult,Slightly Male,Psychiatric,Neurological,Mild,Very Low,Rare,Acute Self-Limiting
indigestion,Very Common,1,1,7,Acute,Sudden,Relapsing,Low,0,95,All Ages,Both,Gastrointestinal,None,Moderate,Low,Sometimes,Acute
induced abortion,Common,0.75,1,14,Subacute,Sudden,Self-limiting,Moderate,15,45,Young Adult,Female,Reproductive,None,Mild to Moderate,Low,Sometimes,Acute
infection of open wound,Common,0.75,3,14,Subacute,Sudden,Progressive,Moderate,0,95,All Ages,Both,Infectious Disease,Dermatological,Mild to Moderate,Low,Sometimes,Acute Self-Limiting
infectious gastroenteritis,Very Common,1,3,7,Acute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Infectious Disease,Gastrointestinal,Mild,Very Low,Rare,Chronic
ingrown toe nail,Very Common,1,7,30,Chronic,Sudden,Relapsing,Low,12,80,Young Adult,Both,Dermatological,Musculoskeletal,Moderate,Low,Sometimes,Chronic
inguinal hernia,Common,0.75,30,10950,Chronic,Gradual,Progressive,Moderate,0,95,All Ages,Male,Gastrointestinal,Musculoskeletal,Mild to Moderate,Very Low,Sometimes,Acute
injury of the ankle,Very Common,1,7,30,Chronic,Sudden,Self-limiting,Moderate,5,85,All Ages,Both,Musculoskeletal,None,Severe,Moderate,Almost Always,Acute
injury to internal organ,Common,0.75,1,90,Chronic,Sudden,Progressive,Emergency,0,90,All Ages,Slightly Male,Multisystem,None,Moderate to Severe,Low,Often,Acute
injury to the abdomen,Common,0.75,1,30,Chronic,Sudden,Progressive,Emergency,0,90,All Ages,Slightly Male,Gastrointestinal,Musculoskeletal,Mild to Moderate,Very Low,Sometimes,Acute
injury to the arm,Common,0.75,7,42,Chronic,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Musculoskeletal,None,Mild to Moderate,Very Low,Sometimes,Acute
injury to the face,Common,0.75,3,21,Subacute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Dermatological,Musculoskeletal,Mild,Very Low,Rare,Acute
injury to the finger,Very Common,1,3,14,Subacute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Musculoskeletal,None,Mild to Moderate,Very Low,Sometimes,Acute
injury to the hand,Very Common,1,5,21,Subacute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Musculoskeletal,None,Moderate,Very Low,Often,Acute
injury to the hip,Common,0.75,14,60,Chronic,Sudden,Self-limiting,Moderate,10,95,All Ages,Both,Musculoskeletal,None,Moderate,Very Low,Sometimes,Acute
injury to the knee,Very Common,1,14,90,Chronic,Sudden,Self-limiting,Moderate,5,90,All Ages,Both,Musculoskeletal,None,Moderate,Very Low,Sometimes,Acute
injury to the leg,Common,0.75,14,60,Chronic,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Musculoskeletal,None,Moderate,Very Low,Sometimes,Acute
injury to the shoulder,Common,0.75,14,60,Chronic,Sudden,Self-limiting,Moderate,5,90,All Ages,Both,Musculoskeletal,None,Severe,Moderate,Almost Always,Acute
injury to the spinal cord,Rare,0.35,365,18250,Chronic,Sudden,Chronic Stable,Emergency,5,90,Young Adult,Slightly Male,Neurological,Musculoskeletal,Moderate to Severe,Low,Often,Acute
injury to the trunk,Common,0.75,7,42,Chronic,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Musculoskeletal,Multisystem,Mild,Very Low,Rare,Acute Self-Limiting
insect bite,Very Common,1,1,7,Acute,Sudden,Self-limiting,Low,0,95,All Ages,Both,Dermatological,Multisystem,Severe,Moderate,Almost Always,Acute
insulin overdose,Rare,0.35,0,1,Very Acute,Sudden,Self-limiting,Emergency,1,90,All Ages,Both,Endocrine,Neurological,Moderate to Severe,Low,Sometimes,Chronic Progressive
interstitial lung disease,Rare,0.35,365,7300,Chronic,Insidious,Progressive,High,40,85,Middle Aged,Both,Respiratory,Autoimmune,Mild,Very Low,Rare,Acute
intertrigo (skin condition),Common,0.75,7,30,Chronic,Sudden,Relapsing,Low,0,95,All Ages,Both,Dermatological,Infectious Disease,Severe,Moderate,Often,Chronic Progressive
intestinal cancer,Common,0.75,180,1825,Chronic,Insidious,Progressive,High,45,90,Elderly,Both,Gastrointestinal,None,Mild to Moderate,Low,Sometimes,Chronic
intestinal disease,Common,0.75,30,10950,Chronic,Gradual,Chronic Stable,Moderate,0,95,All Ages,Both,Gastrointestinal,None,Moderate,Low,Rare,Chronic
intestinal malabsorption,Common,0.75,90,10950,Chronic,Insidious,Progressive,Moderate,0,90,All Ages,Both,Gastrointestinal,Endocrine,Severe,Moderate,Almost Always,Acute
intestinal obstruction,Common,0.75,1,7,Acute,Sudden,Progressive,Emergency,0,95,All Ages,Both,Gastrointestinal,None,Severe,High,Almost Always,Acute
intracerebral hemorrhage,Rare,0.35,1,90,Chronic,Sudden,Progressive,Emergency,40,95,Elderly,Both,Neurological,Cardiovascular,Severe,Moderate,Almost Always,Subacute
intracranial abscess,Very Rare,0.15,14,60,Chronic,Sudden,Progressive,Emergency,0,80,All Ages,Both,Neurological,Infectious Disease,Severe,High,Almost Always,Acute
intracranial hemorrhage,Rare,0.35,1,90,Chronic,Sudden,Progressive,Emergency,0,95,All Ages,Both,Neurological,Cardiovascular,Severe,Low,Almost Always,Acute
intussusception,Rare,0.35,1,3,Very Acute,Sudden,Progressive,Emergency,0,3,Infant,Slightly Male,Gastrointestinal,None,Moderate,Very Low,Rare,Chronic
iridocyclitis,Rare,0.35,7,30,Chronic,Sudden,Relapsing,High,20,60,Young Adult,Both,Ophthalmological,Autoimmune,Mild to Moderate,Very Low,Rare,Chronic
iron deficiency anemia,Very Common,1,90,365,Chronic,Insidious,Progressive,Moderate,0,90,All Ages,Female,Hematological,None,Mild to Moderate,Very Low,Rare,Chronic
irritable bowel syndrome,Very Common,1,365,18250,Chronic,Gradual,Relapsing,Moderate,18,55,Young Adult,Slightly Female,Gastrointestinal,Psychiatric,Severe,High,Almost Always,Acute
ischemia of the bowel,Very Common,1,1,2,Very Acute,Sudden,Progressive,Emergency,50,95,Elderly,Both,Cardiovascular,Gastrointestinal,Moderate to Severe,Low,Sometimes,Chronic Progressive
ischemic heart disease,Very Common,1,365,10950,Chronic,Insidious,Progressive,High,35,95,Middle Aged,Slightly Male,Cardiovascular,None,Mild,Very Low,Rare,Chronic
itching of unknown cause,Common,0.75,7,90,Chronic,Sudden,Relapsing,Low,0,95,All Ages,Both,Dermatological,None,Mild to Moderate,Very Low,Rare,Chronic
jaw disorder,Common,0.75,30,1825,Chronic,Gradual,Relapsing,Low,15,70,Young Adult,Both,Musculoskeletal,ENT,Mild to Moderate,Very Low,Sometimes,Acute
joint effusion,Common,0.75,3,30,Chronic,Sudden,Relapsing,Moderate,5,90,All Ages,Both,Musculoskeletal,None,Moderate,Very Low,Rare,Chronic
juvenile rheumatoid arthritis,Rare,0.35,365,7300,Chronic,Insidious,Relapsing,Moderate,2,16,Child,Slightly Female,Musculoskeletal,Autoimmune,Moderate to Severe,Low,Sometimes,Chronic Progressive
kaposi sarcoma,Rare,0.35,365,1825,Chronic,Gradual,Progressive,High,20,80,Young Adult,Male,Dermatological,Infectious Disease,Severe,Moderate,Often,Chronic Progressive
kidney cancer,Common,0.75,180,1825,Chronic,Insidious,Progressive,High,50,90,Elderly,Slightly Male,Genitourinary,None,Moderate to Severe,Low,Sometimes,Chronic Progressive
kidney disease due to longstanding hypertension,Common,0.75,1095,14600,Chronic,Insidious,Progressive,High,40,95,Elderly,Both,Genitourinary,Cardiovascular,Severe,Moderate,Often,Chronic
kidney failure,Common,0.75,30,10950,Chronic,Gradual,Progressive,High,10,95,Middle Aged,Both,Genitourinary,Multisystem,Moderate,Very Low,Sometimes,Acute
kidney stone,Common,0.75,1,14,Subacute,Sudden,Relapsing,High,20,75,Middle Aged,Slightly Male,Genitourinary,None,Moderate,Very Low,Often,Acute
knee ligament or meniscus tear,Common,0.75,30,365,Chronic,Sudden,Self-limiting,Moderate,15,60,Young Adult,Slightly Male,Musculoskeletal,None,Moderate,Very Low,Rare,Acute Self-Limiting
labyrinthitis,Common,0.75,7,21,Subacute,Sudden,Self-limiting,Moderate,20,70,Middle Aged,Both,ENT,Neurological,Mild,Very Low,Rare,Chronic
lactose intolerance,Very Common,1,3650,25550,Chronic,Sudden,Chronic Stable,Low,2,80,All Ages,Both,Gastrointestinal,Endocrine,Mild,Very Low,Rare,Acute Self-Limiting
laryngitis,Common,0.75,3,10,Acute,Sudden,Self-limiting,Low,0,90,All Ages,Both,ENT,Respiratory,Mild,Very Low,Rare,Chronic
lateral epicondylitis (tennis elbow),Common,0.75,30,180,Chronic,Gradual,Self-limiting,Low,30,60,Middle Aged,Both,Musculoskeletal,None,Severe,Moderate,Often,Chronic Progressive
leukemia,Common,0.75,90,1825,Chronic,Gradual,Progressive,High,0,90,All Ages,Both,Hematological,None,Severe,Very Low,Rare,Chronic Progressive
lewy body dementia,Rare,0.35,730,3650,Chronic,Insidious,Progressive,Moderate,60,95,Elderly,Slightly Male,Neurological,Psychiatric,Mild,Very Low,Rare,Acute Self-Limiting
lice,Very Common,1,7,21,Subacute,Sudden,Self-limiting,Low,2,60,Child,Both,Dermatological,Infectious Disease,Mild to Moderate,Very Low,Rare,Chronic
lichen planus,Rare,0.35,60,730,Chronic,Gradual,Self-limiting,Low,30,70,Middle Aged,Both,Dermatological,Autoimmune,Mild,Very Low,Rare,Chronic
lichen simplex,Rare,0.35,90,1825,Chronic,Gradual,Chronic Stable,Low,30,75,Middle Aged,Both,Dermatological,Psychiatric,Mild,Very Low,Rare,Chronic
lipoma,Very Common,1,365,10950,Chronic,Insidious,Chronic Stable,Low,45,90,Elderly,Slightly Male,Dermatological,Musculoskeletal,Severe,High,Often,Chronic Progressive
liver cancer,Common,0.75,90,1095,Chronic,Insidious,Progressive,High,0,95,All Ages,Both,Gastrointestinal,None,Moderate,Low,Sometimes,Chronic
liver disease,Common,0.75,365,10950,Chronic,Insidious,Progressive,High,20,85,Middle Aged,Both,Gastrointestinal,None,Mild to Moderate,Very Low,Rare,Acute
lumbago,Very Common,1,3,30,Chronic,Sudden,Relapsing,Moderate,45,90,Elderly,Slightly Male,Musculoskeletal,None,Severe,High,Often,Chronic Progressive
lung cancer,Common,0.75,180,1095,Chronic,Insidious,Progressive,High,0,90,All Ages,Both,Respiratory,None,Moderate to Severe,Low,Often,Acute
lung contusion,Common,0.75,7,21,Subacute,Sudden,Self-limiting,High,5,80,All Ages,Both,Respiratory,Musculoskeletal,Moderate,Low,Sometimes,Subacute
lyme disease,Common,0.75,14,365,Chronic,Sudden,Progressive,Moderate,0,90,All Ages,Both,Infectious Disease,Musculoskeletal,Mild to Moderate,Very Low,Rare,Acute
lymphadenitis,Common,0.75,7,21,Subacute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Hematological,Infectious Disease,Moderate,Low,Sometimes,Acute
lymphangitis,Rare,0.35,3,10,Acute,Sudden,Progressive,High,15,90,All Ages,Both,Cardiovascular,Infectious Disease,Moderate,Very Low,Rare,Chronic Progressive
lymphedema,Common,0.75,365,10950,Chronic,Gradual,Progressive,Moderate,18,50,Young Adult,Both,Cardiovascular,Dermatological,Moderate,Very Low,Rare,Subacute
lymphogranuloma venereum,Rare,0.35,14,60,Chronic,Sudden,Progressive,Moderate,5,90,All Ages,Both,Infectious Disease,Reproductive,Severe,Moderate,Often,Chronic Progressive
lymphoma,Common,0.75,180,3650,Chronic,Gradual,Progressive,High,55,95,Elderly,Both,Hematological,None,Moderate,Very Low,Rare,Chronic Progressive
macular degeneration,Common,0.75,365,7300,Chronic,Insidious,Progressive,High,10,95,All Ages,Both,Ophthalmological,None,Mild to Moderate,Very Low,Rare,Chronic
magnesium deficiency,Common,0.75,30,180,Chronic,Insidious,Progressive,Moderate,0,90,All Ages,Both,Endocrine,Musculoskeletal,Moderate to Severe,Low,Often,Acute Self-Limiting
malaria,Common,0.75,7,14,Subacute,Sudden,Relapsing,High,15,80,Young Adult,Male,Infectious Disease,Hematological,Mild to Moderate,Very Low,Rare,Acute
male genitalia infection,Common,0.75,3,14,Subacute,Sudden,Progressive,Moderate,30,70,Middle Aged,Both,Reproductive,Infectious Disease,Severe,Moderate,Almost Always,Acute
malignant hypertension,Common,0.75,1,3,Very Acute,Sudden,Progressive,Emergency,15,45,Young Adult,Slightly Male,Cardiovascular,Genitourinary,Mild to Moderate,Very Low,Rare,Chronic
marijuana abuse,Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,25,85,Middle Aged,Female,Psychiatric,Neurological,Moderate,Very Low,Almost Always,Acute
mastectomy,Common,0.75,30,365,Chronic,Sudden,Self-limiting,High,0,20,Child,Both,Reproductive,None,Moderate to Severe,Low,Often,Acute
mastoiditis,Common,0.75,7,21,Subacute,Sudden,Progressive,High,0,10,Child,Slightly Male,ENT,Infectious Disease,Moderate,Low,Sometimes,Chronic
meckel diverticulum,Rare,0.35,1,3650,Chronic,Sudden,Relapsing,High,30,90,Middle Aged,Both,Gastrointestinal,None,Severe,Moderate,Often,Chronic Progressive
melanoma,Common,0.75,180,1825,Chronic,Gradual,Progressive,High,40,70,Middle Aged,Both,Dermatological,None,Moderate,Very Low,Rare,Relapsing-Remitting
meniere disease,Common,0.75,1,10950,Chronic,Sudden,Relapsing,Moderate,40,85,Elderly,Slightly Female,ENT,Neurological,Moderate to Severe,Low,Sometimes,Chronic Progressive
meningioma,Rare,0.35,365,7300,Chronic,Insidious,Progressive,Moderate,0,90,All Ages,Both,Neurological,None,Severe,Moderate,Almost Always,Acute
meningitis,Common,0.75,3,14,Subacute,Sudden,Progressive,Emergency,45,55,Middle Aged,Female,Infectious Disease,Neurological,Mild,Very Low,Rare,Chronic
menopause,Very Common,1,365,3650,Chronic,Insidious,Self-limiting,Low,0,95,All Ages,Both,Reproductive,Endocrine,Moderate,Low,Sometimes,Chronic
metabolic disorder,Common,0.75,365,25550,Chronic,Insidious,Chronic Stable,Moderate,30,95,Middle Aged,Both,Endocrine,Multisystem,Severe,High,Almost Always,Chronic Progressive
metastatic cancer,Common,0.75,30,1095,Chronic,Gradual,Progressive,High,15,55,Young Adult,Slightly Female,Multisystem,None,Moderate,Very Low,Rare,Relapsing-Remitting
migraine,Very Common,1,1,3,Very Acute,Sudden,Relapsing,Moderate,15,45,Young Adult,Female,Neurological,None,Moderate,Low,Almost Always,Acute
missed abortion,Common,0.75,1,14,Subacute,Sudden,Progressive,High,15,90,Middle Aged,Both,Reproductive,None,Moderate,Low,Sometimes,Chronic Progressive
mitral valve disease,Common,0.75,365,10950,Chronic,Insidious,Progressive,High,15,45,Young Adult,Female,Cardiovascular,None,Mild,Very Low,Rare,Relapsing-Remitting
mittelschmerz,Common,0.75,1,2,Very Acute,Sudden,Relapsing,Low,2,30,Child,Both,Reproductive,None,Mild,Very Low,Rare,Acute Self-Limiting
molluscum contagiosum,Common,0.75,60,365,Chronic,Gradual,Self-limiting,Low,20,85,Middle Aged,Both,Dermatological,Infectious Disease,Moderate,Very Low,Rare,Subacute
mononeuritis,Common,0.75,30,365,Chronic,Sudden,Relapsing,Moderate,13,30,Adolescent,Both,Neurological,None,Mild to Moderate,Very Low,Rare,Acute Self-Limiting
mononucleosis,Common,0.75,14,60,Chronic,Gradual,Self-limiting,Moderate,5,50,Child,Slightly Female,Infectious Disease,Hematological,Severe,Low,Often,Chronic Progressive
moyamoya disease,Very Rare,0.15,365,10950,Chronic,Insidious,Progressive,High,5,90,All Ages,Both,Neurological,Cardiovascular,Moderate,Very Low,Rare,Acute
mucositis,Common,0.75,7,21,Subacute,Sudden,Self-limiting,Moderate,50,95,Elderly,Both,ENT,Gastrointestinal,Severe,Moderate,Often,Chronic Progressive
multiple myeloma,Rare,0.35,365,1825,Chronic,Insidious,Progressive,High,20,50,Young Adult,Female,Hematological,Musculoskeletal,Severe,Low,Sometimes,Relapsing-Remitting
multiple sclerosis,Common,0.75,365,14600,Chronic,Insidious,Relapsing,Moderate,2,20,Child,Both,Neurological,Autoimmune,Mild to Moderate,Very Low,Rare,Acute Self-Limiting
mumps,Common,0.75,14,21,Subacute,Sudden,Self-limiting,Moderate,10,95,All Ages,Both,Infectious Disease,ENT,Mild,Very Low,Rare,Acute
muscle spasm,Very Common,1,1,7,Acute,Sudden,Relapsing,Low,2,50,Child,Male,Musculoskeletal,Neurological,Severe,Low,Rare,Chronic Progressive
muscular dystrophy,Common,0.75,3650,18250,Chronic,Insidious,Progressive,Moderate,20,80,Young Adult,Slightly Female,Musculoskeletal,Neurological,Moderate to Severe,Low,Sometimes,Chronic
myasthenia gravis,Rare,0.35,365,14600,Chronic,Insidious,Relapsing,Moderate,60,95,Elderly,Slightly Male,Neurological,Autoimmune,Severe,Moderate,Often,Chronic Progressive
myelodysplastic syndrome,Common,0.75,365,3650,Chronic,Insidious,Progressive,High,0,80,All Ages,Both,Hematological,None,Moderate to Severe,Low,Often,Acute
myocarditis,Common,0.75,7,90,Chronic,Sudden,Progressive,High,0,95,All Ages,Both,Cardiovascular,Infectious Disease,Moderate,Very Low,Rare,Chronic
myoclonus,Common,0.75,1,10950,Chronic,Sudden,Relapsing,Moderate,5,90,All Ages,Both,Neurological,None,Mild,Very Low,Rare,Chronic
myopia,Very Common,1,3650,25550,Chronic,Insidious,Chronic Stable,Low,5,80,All Ages,Both,Ophthalmological,None,Moderate,Very Low,Rare,Chronic
myositis,Common,0.75,30,365,Chronic,Gradual,Relapsing,Moderate,15,40,Young Adult,Both,Musculoskeletal,Autoimmune,Moderate,Very Low,Rare,Chronic
narcolepsy,Rare,0.35,365,18250,Chronic,Insidious,Chronic Stable,Moderate,20,80,Middle Aged,Slightly Male,Neurological,Psychiatric,Mild to Moderate,Very Low,Rare,Chronic Progressive
nasal polyp,Common,0.75,365,7300,Chronic,Insidious,Progressive,Low,20,90,All Ages,Both,ENT,Respiratory,Severe,High,Almost Always,Acute
necrotizing fasciitis,Very Rare,0.15,1,3,Very Acute,Sudden,Progressive,Emergency,0,0,Infant,Both,Infectious Disease,Dermatological,Moderate,Low,Often,Acute Self-Limiting
neonatal jaundice,Very Common,1,3,14,Subacute,Sudden,Self-limiting,Moderate,25,80,Middle Aged,Both,Gastrointestinal,Hematological,Moderate,Very Low,Rare,Chronic
nerve impingement near the shoulder,Common,0.75,14,180,Chronic,Sudden,Relapsing,Moderate,20,95,Middle Aged,Both,Neurological,Musculoskeletal,Moderate,Very Low,Rare,Chronic
neuralgia,Common,0.75,30,3650,Chronic,Sudden,Relapsing,Moderate,0,40,Child,Both,Neurological,None,Moderate,Very Low,Rare,Chronic Progressive
neurofibromatosis,Rare,0.35,3650,25550,Chronic,Insidious,Progressive,Moderate,18,90,All Ages,Both,Neurological,Dermatological,Moderate,Very Low,Rare,Subacute
neuropathy due to drugs,Common,0.75,30,365,Chronic,Gradual,Chronic Stable,Moderate,18,70,Young Adult,Slightly Female,Neurological,Multisystem,Moderate,Very Low,Rare,Chronic
neurosis,Common,0.75,365,18250,Chronic,Gradual,Chronic Stable,Moderate,25,80,Middle Aged,Both,Psychiatric,None,Moderate,Low,Rare,Chronic Progressive
nonalcoholic liver disease (nash),Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,0,90,All Ages,Both,Gastrointestinal,Endocrine,Mild to Moderate,Low,Sometimes,Acute Self-Limiting
